[0,    15]    1472
[16,    31]    106377
[32,    47]    488635
[48,    63]    583387
[64,    79]    768023
[80,    95]    810994
[96,    111]    657564
[112,    127]    424740
[128,    143]    215955
[144,    159]    101650
[160,    175]    28492
[176,    191]    5400
[192,    207]    1070
[208,    223]    304
[224,    239]    131
[240,    255]    110
